name,city,type,website,instagram,email
LePantalon Marais,Paris,clothes,https://lepantalon.fr,https://www.instagram.com/lepantalon/,hello@lepantalon.com
BOGGI Milano,Paris,clothes,https://shop.boggi.com/,https://www.instagram.com/boggimilanoofficial/,shoponline@boggi.com
The Frankie Shop,Paris,clothes,https://thefrankieshop.com/,https://instagram.com/thefrankieshop,info@thefrankieshop.com
Sport Palais,Paris,shoes,https://www.sportpalais.com/,https://www.instagram.com/sportpalais/,contact@sportpalais.com
Amour de Pierres,Paris,jewelry,http://www.amour-de-pierres.com,,amourdepierres@gmail.com
Mes Chaussettes Rouges,Paris,clothes,https://meschaussettesrouges.com,https://www.instagram.com/meschaussettesrouges/?hl=fr,serviceclient@meschaussettesrouges.com
Baby the Star Shine Bright,Paris,clothes,http://babyparis.blog99.fc2.com/,,bssbparis@mac.com
Produits d’antan,Paris,doityourself,https://www.produits-dantan.com,https://www.instagram.com/pmsb_produits_dantan/?hl=fr,contact@produits-dantan.com
Divini Kreol,Paris,jewelry,https://www.ladivini.com/,https://www.instagram.com/la_divini/,contact@ladivini.com
Tityaravy,Paris,jewelry,https://www.tityaravy.com,https://www.instagram.com/tityaravy/,niven@tityaravy.com
White Boutik,Paris,clothes,https://white-boutik.com/,,rdv.whiteboutik@gmail.com
Fursac,Paris,clothes,https://www.defursac.fr/,https://instagram.com/fursac.paris/?hl=fr,serviceclient@fursac.com
Tikamoon,Paris,furniture,https://www.tikamoon.com/,https://www.instagram.com/tikamoon/?hl=fr,contact@tikamoon.com
Ermenegildo Zegna,Paris,clothes,https://www.zegna.com,https://www.instagram.com/zegna/,ez.service@legalmail.it
Alexsa,Paris,jewelry,https://www.alexsa-joaillerie.fr,https://instagram.com/alexsa.joaillerie/,alexsa.joaillier@gmail.com
Vépi,Paris,furniture,https://www.vepi.fr/,,PARIScontact@vepi.fr
Ubu Galerie,Paris,jewelry,https://www.ububijoux.com/,https://www.instagram.com/ububijouxparis,%69%6e%66%6f@%75%62%75%62%69%6a%6f%75%78.%63%6f%6d
La maison du bouton,Paris,clothes,http://lamaisondubouton.fr/,,contact@lamaisondubouton.fr
L'Habit Français,Paris,clothes,https://lhabitfrancais.com/,https://www.instagram.com/lhabit.francais/,boutique.lhabitfrancais@gmail.com
Gemmex,Paris,jewelry,http://www.gemmex.fr/,,gemmex2@wanadoo.fr
