name,city,type,website,instagram,email
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/323-rue-vaugirard,,
Unisport,Paris,clothes,https://unisportstore.fr,https://www.instagram.com/unisportstorefr/,
Khara Tuki,Paris,jewelry,https://khara-tuki.com/,https://www.instagram.com/accounts/login/?next=%2Fairasiabet.ofc%2F,
Panafrica,Paris,shoes,https://www.panafrica-store.com/,https://www.instagram.com/panafrica_official,
Nilaï Paris,Paris,jewelry,https://www.nilai.fr,https://www.instagram.com/nilaiparis/?hl=fr,
Free People,Paris,clothes,https://www.freepeople.com/france/stores/RueMalher,,
Monoprix Gobelins,Paris,clothes,https://www.monoprix.fr/monoprix-gobelins-pn-paris-75005-s,,
Bragard,Paris,clothes,https://www.bragard.fr/,https://www.instagram.com/explore/tags/vousenbragard/,
À la Plage,Paris,clothes,https://www.alaplage.fr/,,
Troc de la Muette,Paris,clothes,http://www.troc-delamuette.com/,,
Bexley,Paris,shoes,https://www.bexley.com/,https://www.instagram.com/bexley.officiel/,
CKAB -- hackable:Devices,Paris,doityourself,http://ckab.net,,
Armor Lux,Paris,clothes,https://www.armorlux.com/,https://www.instagram.com/armorluxofficiel/,
Au Forum du Bâtiment,Paris,doityourself,https://www.afdb.fr/magasins/paris/P18.html,https://www.instagram.com/auforumdubatiment/,
Miss Papillon,Paris,clothes,http://www.misspapillon.fr,,
Tara Jarmon,Paris,clothes,https://www.tarajarmon.com/nos-boutiques/paris-champs-elysees_paris_75008/4.html,https://www.instagram.com/tarajarmon/,
Citadium,Paris,clothes,https://www.citadium.com/fr/fr/magasin-citadium-paris-beaubourg,https://www.instagram.com/citadiumbeaubourg/,
Dubail,Paris,jewelry,https://dubail.fr,https://www.instagram.com/p/DJj1EDgs4zL/,
Hoa Ly,Paris,clothes,http://www.hoaly.fr,,
Kiloutou,Paris,doityourself,https://www.kiloutou.fr/,https://www.instagram.com/kiloutou_france/,
Iskender Alliances,Paris,jewelry,https://www.iskender-alliances.com,https://www.instagram.com/iskenderalliancesparis/,
Merci,Paris,clothes,https://merci-merci.com/,https://www.instagram.com/merciparis,
Cabirol,Paris,jewelry,https://www.cabirol-joaillerie.com/,https://www.instagram.com/cabiroljewelry/,
Salle de Bain et Design,Paris,furniture,https://www.cascade-bain.com/,,
Kiabi Paris Voltaire,Paris,clothes,https://www.kiabi.com/magasin/kiabi-PARIS-VOLTAIRE_FMVOLTA,https://www.instagram.com/kiabi.france/,
Éram,Paris,shoes,https://www.eram.fr/,https://www.instagram.com/eram_officiel/,
L'Établisienne,Paris,doityourself,https://www.letablisienne.com/,https://www.instagram.com/laurence_l_etablisienne/,
Free People,Paris,clothes,https://www.freepeople.com,,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/13-rue-tronchet,,
From Future,Paris,clothes,https://fromfuture.com,https://www.instagram.com/wearefromfuture/,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/67-rue-du-faubourg-saint-antoine,,
Loxam City Nation,Paris,doityourself,https://www.loxam.fr/reseau/loxam-city/loxam-city-nation-pg25-550-0.html,https://www.instagram.com/loxam_france/,
Pépite,Paris,jewelry,https://www.pepitebijoux.com,https://www.instagram.com/pepitebijoux/,
Charlotte Chesnais,Paris,jewelry,https://www.charlottechesnais.com,https://www.instagram.com/charlottechesnais/,
Exclusif,Paris,clothes,https://exclusifparis.com,,
Les Métamorphoses,Paris,jewelry,http://les-metamorphoses.com/,,
AC matière,Paris,furniture,https://www.acmatiere.fr/contact/,,
À Nous les Marques,Paris,clothes,https://www.pagesjaunes.fr/pros/51555389,,
Portobello,Paris,furniture,https://www.portobello-decoration.fr/,https://www.instagram.com/portobello.decoration/,
Sœur,Paris,clothes,http://www.soeur-online.fr,,
Zespà,Paris,shoes,https://zespa.fr/,https://www.instagram.com/zespa_official/,
Au Forum du Bâtiment,Paris,doityourself,https://www.afdb.fr/,https://www.instagram.com/auforumdubatiment/,
Clara Vintage,Paris,clothes,https://www.clara-vintage.fr/,,
Palmaccio,Paris,clothes,https://www.Palmaccio.com,https://www.instagram.com/palmaccio/,
Bonne Gueule,Paris,clothes,https://www.bonnegueule.fr/,https://www.instagram.com/bonnegueule.fr/,
Camper,Paris,shoes,https://www.bycharlot.com/pages/pointsdevente-marais,https://www.instagram.com/bycharlot_paris/,
LA Panoplie,Paris,clothes,https://la-panoplie.com/,,
Tie Rack,Paris,clothes,https://www.tie-rack.fr/,,
Quadro',Paris,furniture,https://www.quadro.fr,https://www.instagram.com/quadro_officiel/,
The Broken Arm,Paris,clothes,https://the-broken-arm.com/,,
NAF NAF,Paris,clothes,https://www.nafnaf.com/,https://www.instagram.com/nafnaf,
Danyberd,Paris,clothes,https://www.danyberd.com,https://www.instagram.com/danyberd.officiel/?hl=fr,
